"Fishing Day","Fish","Fishing Gear","Site","Species","Weight (kg)","Length (cm)","Scale taken (0=N, 1=Y)","Floy Tag . (0=N)","Recap Tag . (0=N)","Preserved for testing (0=N, 1=Y)","Mortality (0=N, 1=Y)","Genetics Testing . (0=N)","Notes"
2.00,160.00,3.00,"1",1.00,3.54,62.00,"",11.00,0.00,1.00,0.00,0.00,""
2.00,161.00,3.00,"1",6.00,0.45,36.00,"",21.00,0.00,0.00,0.00,0.00,""
2.00,162.00,3.00,"1",2.00,0.27,26.00,"",12.00,0.00,1.00,0.00,0.00,""
2.00,163.00,1.00,"2",3.00,0.01,12.00,"",0.00,0.00,0.00,0.00,0.00,""
2.00,164.00,1.00,"2",3.00,0.01,9.50,"",0.00,0.00,0.00,0.00,0.00,""
2.00,165.00,3.00,"1",6.00,0.53,28.00,"",13.00,0.00,0.00,0.00,0.00,""
2.00,166.00,3.00,"1",6.00,0.80,42.00,"",14.00,0.00,0.00,0.00,0.00,""
2.00,167.00,3.00,"1",6.00,0.72,40.00,"",15.00,0.00,0.00,0.00,0.00,""
2.00,168.00,3.00,"1",6.00,0.46,38.00,"",16.00,0.00,0.00,0.00,0.00,""
3.00,169.00,1.00,"2",4.00,0.16,19.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,170.00,1.00,"4",4.00,0.19,21.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,171.00,1.00,"4",4.00,0.21,21.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,172.00,1.00,"4",4.00,0.22,21.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,173.00,1.00,"4",4.00,0.19,21.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,174.00,1.00,"4",4.00,0.23,22.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,175.00,2.00,"2",3.00,0.01,7.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,176.00,2.00,"2",14.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,177.00,2.00,"2",5.00,0.01,5.20,"",0.00,0.00,0.00,0.00,0.00,""
3.00,178.00,2.00,"2",5.00,0.01,5.20,"",0.00,0.00,0.00,0.00,0.00,""
3.00,179.00,2.00,"2",5.00,0.01,5.70,"",0.00,0.00,0.00,0.00,0.00,""
3.00,180.00,2.00,"2",5.00,0.01,4.70,"",0.00,0.00,0.00,0.00,0.00,""
3.00,181.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,182.00,2.00,"2",5.00,0.01,4.80,"",0.00,0.00,0.00,0.00,0.00,""
3.00,183.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,184.00,2.00,"2",5.00,0.01,4.70,"",0.00,0.00,0.00,0.00,0.00,""
3.00,185.00,2.00,"2",5.00,0.01,4.80,"",0.00,0.00,0.00,0.00,0.00,""
3.00,186.00,2.00,"2",4.00,0.18,20.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,187.00,2.00,"2",3.00,0.05,16.00,"",17.00,0.00,0.00,0.00,0.00,""
3.00,188.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,189.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,190.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,191.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,192.00,2.00,"2",4.00,0.01,7.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,193.00,2.00,"2",5.00,0.01,3.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,194.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,195.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,196.00,2.00,"2",4.00,0.04,12.00,"",0.00,0.00,0.00,0.00,0.00,""
